age,gender,region_category,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_session_duration,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn,plan_tier,logins_90d,active_days_90d,api_calls_90d,session_minutes_90d,days_since_active,days_since_joined
60,M,City,Yes,Gift Vouchers/Coupons,Both,Fiber_Optic,11.0,537.25,1773.49,6.0,711.76,Yes,Yes,No,Not Applicable,Poor Product Quality,0,Pro,27,23,2719,645.67,5,183
12,M,City,No,Credit/Debit Card Offers,Desktop,Wi-Fi,8.0,198.26,26105.24,7.0,721.36,Yes,No,No,Not Applicable,Poor Customer Service,0,Enterprise,42,31,9486,1201.74,8,1036
52,M,Town,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,9.0,119.47,10101.48,28.0,158.5477645,Yes,No,No,Not Applicable,Poor Website,1,Pro,32,24,1303,860.01,6,816
30,M,City,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,15.0,68.19,21111.9,23.0,574.01,Yes,Yes,Yes,Solved in Follow-up,Poor Customer Service,1,Basic,9,9,241,179.05,1,445
26,M,Town,Yes,Without Offers,Desktop,Wi-Fi,3.0,215.89,41979.65,9.0,698.25,No,Yes,No,Not Applicable,Too many ads,1,Basic,17,14,295,403.48,0,33
26,F,Town,Yes,Without Offers,Desktop,Wi-Fi,20.0,194.85,5912.06,13.0,568.34,Yes,No,No,Not Applicable,Too many ads,1,Basic,13,12,411,281.81,0,184
49,F,Village,Yes,Credit/Debit Card Offers,Both,Fiber_Optic,8.0,706.36,19062.25,16.0,780.58,Yes,No,No,Not Applicable,Poor Product Quality,0,Enterprise,48,37,9487,900.59,0,206
24,M,City,No,Without Offers,Desktop,Fiber_Optic,15.0,210.44,35531.98,25.0,745.49,Yes,No,No,Not Applicable,Poor Product Quality,0,Enterprise,27,24,10135,461.48,2,448
22,M,Town,Yes,Without Offers,Desktop,Wi-Fi,4.0,174.18,8415.63,17.0,650.44,No,Yes,Yes,Solved in Follow-up,Too many ads,1,Basic,17,16,470,295.21,1,213
33,F,Town,No,Credit/Debit Card Offers,Desktop,Wi-Fi,12.0,394.26,34697.85,19.0,752.3,Yes,No,Yes,No Information Available,Poor Website,0,Enterprise,50,38,12913,1246.72,1,333
17,M,City,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,6.0,348.07,94100.72,4.0,824.95,Yes,Yes,No,Not Applicable,User Friendly Website,0,Enterprise,52,38,8101,1346.19,4,743
36,M,Village,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,2.0,691.09,17989.46,16.0,698.25,No,Yes,Yes,Solved,No reason specified,1,Pro,23,18,2225,337.46,3,399
12,M,City,No,Without Offers,Desktop,Mobile_Data,8.0,33.09,55607.35,16.0,698.25,Yes,No,No,Not Applicable,User Friendly Website,0,Enterprise,34,26,13692,676.94,2,322
58,F,Village,No,Without Offers,Smartphone,Mobile_Data,11.0,30.78,48080.03,10.0,713.62,Yes,No,No,Not Applicable,Poor Product Quality,0,Pro,15,14,2406,234.45,4,53
41,M,Town,No,Without Offers,Both,Fiber_Optic,13.0,282.87,27528.03,27.0,743.8,Yes,No,No,Not Applicable,Poor Website,0,Enterprise,27,21,6520,384.96,0,407
30,M,City,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,20.0,100.42,86433.91,16.0,719.93,No,Yes,Yes,Unsolved,Reasonable Price,0,Enterprise,24,21,7382,401.57,1,752
50,M,City,No,Credit/Debit Card Offers,Desktop,Wi-Fi,18.0,154.7,24197.4,29.0,698.25,No,Yes,Yes,Solved,Too many ads,0,Enterprise,27,22,12550,384.02,0,799
23,M,Village,Yes,Without Offers,Desktop,Wi-Fi,10.0,65.25,5136.08,16.0,755.22,No,Yes,No,Not Applicable,Poor Customer Service,0,Pro,24,21,1484,418.22,5,802
38,M,Town,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,8.0,324.75,28535.13,27.0,770.31,Yes,Yes,Yes,Solved,Poor Customer Service,0,Pro,28,25,2258,496.87,3,78
20,M,City,Yes,Without Offers,Desktop,Fiber_Optic,16.0,237.39,25000.09,16.0,704.4,No,Yes,No,Not Applicable,Poor Website,1,Pro,21,18,2332,443.97,8,1070
35,F,Village,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,20.0,148.24,30984.56,11.0,729.04,Yes,No,No,Not Applicable,Poor Customer Service,0,Pro,24,19,3016,385.36,4,428
43,M,Town,Yes,Without Offers,Both,Wi-Fi,16.0,773.83,9091.94,20.0,700.4,No,Yes,No,Not Applicable,Poor Product Quality,0,Enterprise,40,32,10965,898.17,0,250
32,M,City,Yes,Without Offers,Desktop,Fiber_Optic,13.0,117.68,19822.82,43.3600415,698.25,Yes,No,No,Not Applicable,Too many ads,0,Pro,39,33,1598,923.09,3,161
40,F,Town,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,18.0,251.06,63416.63,12.0,1087.184702,No,Yes,Yes,Solved in Follow-up,Products always in Stock,0,Enterprise,44,33,10505,961.51,0,863
40,F,Town,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,13.0,46.57,24045.93,8.0,709.73,No,Yes,No,Not Applicable,Poor Product Quality,0,Pro,30,23,1351,586.12,2,133
48,F,Town,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,12.0,539.49,49270.76,12.0,503.95,Yes,No,No,Not Applicable,Too many ads,1,Basic,14,14,256,440.5,5,290
35,M,Town,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,12.0,34.48,48679.07,6.0,779.59,Yes,No,No,Not Applicable,Poor Product Quality,0,Enterprise,45,40,8719,1328.6,4,966
28,M,Village,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,9.0,174.18,13131.05,13.0,820.91,Yes,Yes,No,Not Applicable,Quality Customer Care,0,Pro,20,17,2181,337.18,2,229
44,F,Town,Yes,Without Offers,Both,Wi-Fi,13.0,283.49,7603.71,16.0,553.45,Yes,Yes,Yes,Unsolved,No reason specified,1,Basic,16,16,314,394.31,2,496
40,M,Town,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,3.0,33.82,39735.58,25.0,784.32,Yes,No,Yes,No Information Available,Too many ads,0,Enterprise,60,48,10843,1636.04,0,335
18,F,City,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,20.0,156.06,4783.23,28.75639925,597.87,Yes,No,Yes,No Information Available,Too many ads,0,Basic,11,11,273,256.71,3,563
10,M,Town,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,12.0,31.67,25436.23,16.0,656.67,No,Yes,No,Not Applicable,Poor Website,1,Basic,14,13,239,362.42,11,938
35,M,Town,Yes,Without Offers,Smartphone,Mobile_Data,4.0,157.03,22975.33,18.0,548.1,No,Yes,No,Not Applicable,Poor Website,1,Basic,26,20,421,800.29,6,35
43,M,Town,No,Credit/Debit Card Offers,Desktop,Mobile_Data,11.0,227.23,29602.15,24.0,663.63,No,Yes,Yes,Unsolved,Poor Product Quality,1,Basic,10,10,309,197.66,2,1001
28,M,Village,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,4.0,457.33,20883.28,14.0,698.25,No,Yes,No,Not Applicable,Too many ads,1,Basic,6,6,344,135.1,2,64
53,M,Town,No,Without Offers,Desktop,Fiber_Optic,6.0,228.02,46353.54,19.0,302.0058985,Yes,No,Yes,No Information Available,No reason specified,0,Enterprise,30,27,10158,501.51,0,339
55,F,Town,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,18.0,42.77,8996.95,16.0,749.56,Yes,No,Yes,Unsolved,Poor Website,0,Enterprise,20,18,9163,364.99,8,120
59,F,Town,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,13.0,207.52,12556.28,10.0,698.25,No,Yes,No,Not Applicable,No reason specified,1,Basic,13,13,400,336.44,0,207
39,M,City,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,13.0,98.57,2645.63,23.0,674.42,No,Yes,No,Not Applicable,Poor Product Quality,1,Basic,8,8,450,179.48,14,396
11,M,City,No,Credit/Debit Card Offers,Desktop,Wi-Fi,23.0,176.31,8983.02,25.0,707.46,No,Yes,Yes,Solved,Poor Product Quality,1,Pro,20,19,2491,303.86,1,558
37,M,Village,No,Without Offers,Both,Mobile_Data,17.0,687.16,29101.96,18.0,713.82,Yes,Yes,No,Not Applicable,Poor Customer Service,1,Basic,11,11,255,163.25,5,594
53,M,City,No,Credit/Debit Card Offers,Desktop,Wi-Fi,13.0,253.96,19233.1,25.0,1032.199126,Yes,No,Yes,Solved,Poor Website,1,Basic,13,12,334,223.1,8,270
57,M,Town,No,Without Offers,Desktop,Fiber_Optic,13.0,119.1,44341.82,16.0,563.92,Yes,No,Yes,No Information Available,Poor Customer Service,1,Basic,9,9,293,134.24,7,730
47,M,Town,No,Without Offers,Desktop,Wi-Fi,10.0,131.86,26399.43,17.0,757.01,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,0,Pro,28,27,2436,489.81,0,894
50,M,Town,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,19.0,65.39,17054.69,21.0,353.3690015,No,Yes,Yes,Solved,No reason specified,0,Pro,22,20,2086,518.12,1,1076
49,F,City,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,3.0,74.9,41612.23,28.0,1196.569315,No,Yes,Yes,Solved in Follow-up,No reason specified,1,Pro,16,16,2270,246.68,4,494
54,M,Town,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,20.0,174.18,42060.89,24.0,684.69,Yes,No,Yes,No Information Available,Poor Website,1,Pro,13,12,3123,169.05,6,194
30,M,Village,No,Without Offers,Desktop,Fiber_Optic,9.0,97.74,32347.7,27.0,698.25,No,Yes,No,Not Applicable,Poor Customer Service,0,Pro,22,21,1690,303.9,7,471
25,F,City,No,Without Offers,Desktop,Mobile_Data,13.0,135.21,3561.26,17.0,698.25,Yes,No,Yes,Solved,Too many ads,0,Pro,21,18,1717,354.47,6,865
53,F,City,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,18.0,172.99,9044.15,8.0,763.14,Yes,No,Yes,Solved in Follow-up,Products always in Stock,0,Enterprise,39,33,8965,997.15,1,1005
54,M,Town,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13.0,254.72,11345.66,7.0,572.41,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,1,Basic,14,13,322,379.57,18,878
62,F,City,No,Without Offers,Both,Fiber_Optic,5.0,304.52,47658.52,29.0,699.19,No,Yes,Yes,Solved,Too many ads,1,Basic,16,16,270,376.02,10,445
55,M,City,Yes,Credit/Debit Card Offers,Both,Mobile_Data,1.0,1316.52,2367.56,25.0,441.8365499,Yes,No,No,Not Applicable,No reason specified,0,Enterprise,58,39,8531,1389.29,0,993
30,F,Town,No,Credit/Debit Card Offers,Desktop,Wi-Fi,13.0,264.54,40756.7,26.0,628.31,Yes,No,No,Not Applicable,Too many ads,1,Basic,8,8,310,132.48,20,49
30,M,City,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,12.0,191.41,25575.44,16.0,648.68,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,1,Pro,21,18,1696,402.19,4,212
51,M,Town,Yes,Without Offers,Desktop,Wi-Fi,13.0,135.09,48819.9,8.0,698.25,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,0,Enterprise,39,31,7081,773.31,9,753
29,M,Village,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,12.0,123.37,13032.52,6.0,698.25,Yes,No,No,Not Applicable,No reason specified,1,Pro,25,23,2302,542.96,0,55
16,M,City,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,9.0,355.31,20457.22,5.0,1233.769727,Yes,Yes,Yes,Solved in Follow-up,Poor Product Quality,0,Pro,42,31,1827,1050.43,2,56
25,F,Village,Yes,Without Offers,Smartphone,Mobile_Data,11.0,31.88,35414.54,20.0,788.67,No,Yes,No,Not Applicable,No reason specified,0,Pro,17,15,1853,310.3,4,228
62,F,City,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,14.0,125.0,38802.24,28.0,698.25,No,Yes,Yes,Unsolved,No reason specified,1,Basic,22,21,399,681.48,6,179
24,F,Town,Yes,Without Offers,Desktop,Fiber_Optic,5.0,181.34,43554.96,1.0,728.69,Yes,No,Yes,Solved in Follow-up,Products always in Stock,0,Enterprise,30,24,7319,680.65,8,125
48,M,City,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,8.0,960.62,13954.02,17.0,631.15,No,Yes,Yes,Solved,Poor Customer Service,1,Basic,7,6,464,131.36,13,1011
56,M,Village,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,24.0,48.59,28071.04,16.0,533.05,No,Yes,Yes,Solved,Poor Website,1,Basic,17,16,397,367.13,0,132
17,M,Town,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,12.0,30.12,15027.14,12.0,698.25,No,Yes,No,Not Applicable,No reason specified,1,Basic,12,11,363,277.86,5,369
23,F,Town,Yes,Without Offers,Desktop,Wi-Fi,21.0,727.69,4919.72,13.0,758.83,Yes,Yes,No,Not Applicable,Too many ads,0,Pro,29,22,2946,742.91,5,515
42,F,City,No,Gift Vouchers/Coupons,Both,Fiber_Optic,3.0,419.51,14661.42,16.0,404.4897584,No,Yes,Yes,Solved in Follow-up,No reason specified,1,Basic,21,20,376,790.39,3,557
59,M,Village,Yes,Without Offers,Both,Mobile_Data,8.0,899.04,49614.88,23.0,758.69,Yes,No,No,Not Applicable,Poor Website,0,Pro,36,29,1648,680.19,4,853
18,M,Town,No,Credit/Debit Card Offers,Desktop,Mobile_Data,11.0,293.42,2521.3,16.0,964.8409708,Yes,No,Yes,No Information Available,Poor Customer Service,1,Basic,19,17,452,306.58,8,741
23,M,City,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,10.0,934.3542198,11955.94,24.0,630.8,No,Yes,Yes,Unsolved,Poor Customer Service,1,Pro,30,26,1156,823.87,6,925
52,F,City,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,4.0,826.51,14877.24,25.0,522.61,Yes,No,No,Not Applicable,Poor Customer Service,1,Basic,13,10,393,439.53,5,49
49,F,Town,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,21.0,115.41,41156.81,27.0,741.02,No,Yes,No,Not Applicable,Poor Customer Service,0,Enterprise,25,21,11632,387.8,5,486
30,M,Town,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,7.0,481.45,4207.45,28.0,776.36,Yes,Yes,No,Not Applicable,Poor Customer Service,0,Enterprise,41,32,6597,809.74,0,232
31,F,Town,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,14.0,148.95,2364.45,16.0,634.51,No,Yes,No,Not Applicable,Too many ads,1,Basic,13,13,220,297.2,15,501
27,M,City,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,21.0,357.45,29825.45,9.0,665.63,No,Yes,Yes,Solved,Poor Website,1,Pro,26,20,1660,357.54,4,435
56,M,City,No,Without Offers,Desktop,Fiber_Optic,21.0,1386.232857,9454.17,19.0,778.27,Yes,No,No,Not Applicable,Too many ads,0,Pro,29,26,3186,643.4,0,617
11,M,Town,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,15.0,96.14,11995.93,19.0,207.169769,Yes,No,No,Not Applicable,Poor Customer Service,1,Pro,22,21,2651,474.45,0,495
31,F,Town,No,Credit/Debit Card Offers,Both,Wi-Fi,10.0,428.05,6325.08,28.0,80.09369313,No,Yes,No,Not Applicable,Poor Product Quality,1,Pro,25,24,1917,536.21,1,263
29,M,Town,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,14.0,42.48,16098.94,21.0,766.85,Yes,No,Yes,Solved,Poor Website,0,Enterprise,35,31,9737,790.03,2,604
31,F,City,Yes,Without Offers,Smartphone,Wi-Fi,24.0,33.91,23226.43,7.0,762.48,No,Yes,Yes,Solved,Poor Customer Service,0,Pro,18,18,3216,393.9,4,621
11,F,Town,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,8.0,1060.527979,10990.31,16.0,271.7143813,Yes,No,No,Not Applicable,Poor Product Quality,1,Basic,15,15,431,278.23,4,1028
14,M,Town,No,Credit/Debit Card Offers,Desktop,Mobile_Data,13.0,1156.431904,32302.27,24.0,520.33,No,Yes,No,Not Applicable,Poor Customer Service,1,Basic,17,15,395,441.28,7,166
26,M,City,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,7.0,187.91,17002.23,11.0,700.11,No,Yes,No,Not Applicable,Too many ads,0,Pro,34,30,2095,695.08,4,48
62,M,Town,No,Credit/Debit Card Offers,Desktop,Mobile_Data,10.0,284.09,48305.86,16.0,730.05,No,Yes,No,Not Applicable,Poor Website,0,Enterprise,64,43,14405,1811.53,3,723
51,M,Village,No,Without Offers,Desktop,Fiber_Optic,3.0,174.18,40667.27,19.0,809.83,Yes,No,No,Not Applicable,Reasonable Price,0,Enterprise,29,25,6773,375.99,0,101
43,F,Village,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,20.0,174.18,16186.76,8.0,633.22,Yes,No,No,Not Applicable,Poor Customer Service,1,Pro,21,18,1809,392.7,5,385
23,M,Town,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,12.0,109.76,46102.66,8.0,783.03,Yes,No,No,Not Applicable,Poor Product Quality,0,Pro,32,27,1682,834.75,3,655
57,M,Town,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,13.0,56.63,10171.97,23.0,757.61,Yes,No,Yes,Solved in Follow-up,No reason specified,0,Pro,20,19,2910,287.93,1,855
17,M,Town,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,21.0,81.15,46109.6,17.0,270.467656,Yes,No,No,Not Applicable,No reason specified,1,Pro,22,19,2186,520.54,2,781
42,M,City,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,10.0,1195.732666,31504.62,10.0,1207.253729,Yes,No,No,Not Applicable,Poor Customer Service,0,Enterprise,34,31,12419,579.95,1,938
21,F,City,No,Credit/Debit Card Offers,Desktop,Mobile_Data,7.0,99.95,22865.42,21.0,698.25,No,Yes,No,Not Applicable,No reason specified,0,Pro,14,14,2304,176.66,5,661
46,M,Village,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,21.0,287.39,44809.68,27.0,629.6,No,Yes,No,Not Applicable,Poor Product Quality,1,Basic,15,14,385,329.49,6,291
41,M,Town,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,13.0,892.02,36394.44,26.0,630.98,Yes,Yes,Yes,Unsolved,Poor Website,1,Pro,24,21,3499,373.11,1,402
61,M,City,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,7.0,115.29,13019.31,14.0,164.0703482,Yes,No,Yes,Solved in Follow-up,Poor Product Quality,1,Basic,8,8,380,140.8,15,215
15,F,City,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,5.0,185.05,43833.54,15.0,743.57,No,Yes,No,Not Applicable,Poor Product Quality,0,Enterprise,33,28,11004,636.48,1,881
56,M,Town,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,16.0,30.16,33886.44,5.0,670.11,No,Yes,No,Not Applicable,Poor Customer Service,1,Pro,29,24,3121,732.99,0,542
35,M,City,No,Without Offers,Both,Fiber_Optic,17.0,219.13,70247.76,3.0,1293.169381,Yes,Yes,No,Not Applicable,User Friendly Website,0,Pro,31,25,2063,625.6,5,1012
57,M,Town,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,8.0,400.35,30248.45,9.0,660.25,No,Yes,Yes,Unsolved,Poor Customer Service,1,Basic,15,15,399,339.96,13,1084
64,M,Town,No,Credit/Debit Card Offers,Desktop,Wi-Fi,20.0,49.24,39981.97,12.0,648.6,Yes,No,Yes,Solved,Too many ads,1,Basic,10,8,532,142.66,32,1022
21,M,Town,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,16.0,590.85,21919.13,14.0,610.24,Yes,No,Yes,Solved,Poor Product Quality,1,Basic,12,11,281,225.37,21,307
53,F,Town,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,22.0,1142.148835,34918.7,6.0,699.08,Yes,No,Yes,Solved in Follow-up,Poor Website,1,Pro,28,20,1304,718.13,1,339
26,M,Village,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,16.0,138.33,8025.77,29.0,1016.785713,Yes,No,No,Not Applicable,Poor Customer Service,1,Basic,17,16,331,474.14,0,189
61,M,Town,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,7.0,516.46,45544.33,29.0,780.96,No,Yes,Yes,Unsolved,Too many ads,0,Pro,27,25,1955,557.5,3,724
30,M,Town,No,Without Offers,Desktop,Fiber_Optic,19.0,211.19,2554.48,10.0,622.45,Yes,Yes,Yes,Solved,Poor Website,1,Basic,6,6,485,130.18,11,979
